,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
52,54,LR,LBR,Liberia,2013,LBRr103,Gbarpolu,18.2,3.8,2.1,5.5,20.5,,33.2,9,1.9,38.0,2.0,23.8,47.9,1.0,79.9,0.0,40.1,2.7,71.6,35.1,19.5,13.3,12.2,8.5,5.0,4.0,1.9,0.4,0.0,,,5515,Gbarpolu,ADM1
53,55,LR,LBR,Liberia,2013,LBRr104,Grand Bassa,22.7,3.8,2.2,5.2,35.2,,39.6,10.1,10.7,54.2,3.4,35.8,30.6,4.3,61.9,0.5,53.1,10.5,68.6,32.5,20.8,11.9,11.3,9.2,7.8,3.6,1.9,0.6,0.4,,,5516,Grand Bassa,ADM1
54,56,LR,LBR,Liberia,2013,LBRr105,Grand Cape Mount,21.3,3.3,1.6,4.9,6.2,,52.8,5.3,3.7,51.1,3.2,13.4,58.4,0.8,68.1,0.0,36.8,1.0,80.5,37.8,18.4,12.0,12.6,8.4,5.4,3.5,1.5,0.3,0.2,,,5517,Grand Cape Mount,ADM1
55,57,LR,LBR,Liberia,2013,LBRr106,Grand Gedeh,23.9,5.3,3.8,6.8,46.6,,41,10.9,5.5,50.9,2.2,16.6,58.8,2.6,69.5,0.0,13.6,1.9,64.1,32.2,21.0,14.0,11.1,6.8,6.7,4.4,2.4,1.1,0.4,,,5518,Grand Gedeh,ADM1
56,58,LR,LBR,Liberia,2013,LBRr107,Grand Kru,18.2,4.8,2.4,7.2,4.6,,47.8,9.8,2.8,48.3,0.5,12.6,58.2,4.0,81.4,0.0,65.8,0.5,78.3,34.5,20.9,12.7,11.0,9.3,6.2,3.5,1.4,0.4,0.0,,,5519,Grand Kru,ADM1
57,59,LR,LBR,Liberia,2013,LBRr108,Lofa,20.9,3.9,2.0,5.9,30.9,,15.6,9.9,0.7,43.3,0.9,8.8,70.9,0.9,73.2,0.2,26.9,2.9,66.2,33.2,20.8,14.1,11.2,6.9,6.4,3.4,2.5,1.2,0.4,,,5520,Lofa,ADM1
58,60,LR,LBR,Liberia,2013,LBRr109,Margibi,32.8,5.1,3.3,6.9,43.0,,49.8,10.4,17.6,76.1,7.9,15.4,36.2,7.3,39.9,0.3,26.2,27.5,48.6,32.4,24.3,13.7,10.5,9.2,5.1,2.7,1.4,0.6,0.1,,,5521,Margibi,ADM1
59,61,LR,LBR,Liberia,2013,LBRr110,Maryland,26.2,5.7,4.0,7.3,52.4,,45.1,10.7,7.7,63.3,2.0,21.5,53.4,2.9,53.6,0.2,12.3,2.0,57.7,33.0,25.7,14.3,10.0,7.3,4.9,2.9,1.5,0.2,0.1,,,5522,Maryland,ADM1
60,62,LR,LBR,Liberia,2013,LBRr111,Montserrado,45.9,8.2,6.9,9.5,93.4,,71.7,16,39.0,92.3,26.2,31.3,40.4,19.7,13.0,10.5,14.6,42.0,31.7,28.1,25.8,18.4,11.8,7.3,4.8,2.5,1.0,0.3,0.1,,,5523,Montserrado,ADM1
61,63,LR,LBR,Liberia,2013,LBRr112,Nimba,25.9,5.4,4.2,6.7,61.9,,38.3,5.3,2.9,62.4,0.7,12.8,66.6,0.8,51.7,0.0,18.5,4.7,70.8,35.1,20.9,13.4,9.6,7.5,6.6,3.4,1.9,1.1,0.6,,,5524,Nimba,ADM1
62,64,LR,LBR,Liberia,2013,LBRr113,River Cess,15.3,3.5,1.6,5.3,4.4,,36.6,5.5,2.2,41.0,2.8,19.3,55.7,0.8,92.4,0.0,75.9,0.1,89.6,37.2,19.8,12.9,11.2,7.8,5.9,3.0,1.5,0.3,0.5,,,77115,River Cess County,ADM1
63,65,LR,LBR,Liberia,2013,LBRr114,River Gee,21.9,4.7,3.0,6.2,23.9,,43.6,8,5.0,50.4,3.4,17.7,47.9,0.4,74.5,0.3,39.5,1.4,60.9,33.9,17.2,15.3,13.8,7.8,6.1,3.7,1.8,0.3,0.0,,,5525,River Gee,ADM1
64,66,LR,LBR,Liberia,2013,LBRr115,Sinoe,17.5,4.6,2.6,6.4,17.5,,41.2,9,4.5,34.7,5.0,23.9,46.0,1.6,84.7,0.4,49.1,1.3,79.5,33.8,20.6,13.0,12.0,7.8,7.9,3.0,1.0,0.8,0.2,,,5526,Sinoe,ADM1
65,67,ML,MLI,Mali,2013,MLIt,Total,35.2,2.1,1.5,2.8,21.7,,63.7,2.8,33.1,77.0,26.7,10.5,58.2,3.6,71.3,8.9,33.7,7.3,58.2,36.4,22.4,12.2,10.6,6.6,6.1,3.8,1.3,0.4,0.2,,,0,,
66,68,ML,MLI,Mali,2013,MLItr,Rural,28.9,1.2,0.8,1.7,0.0,,73.4,0,20.8,71.8,12.6,10.5,58.0,1.7,81.4,1.7,41.2,5.0,70.6,37.8,21.8,11.6,10.3,6.5,6.3,3.9,1.4,0.4,0.2,,,0,,
67,69,ML,MLI,Mali,2013,MLItu,Urban,58.1,5.1,4.0,6.2,100.0,,0,20.8,77.3,95.7,77.6,10.7,59.1,10.6,34.7,34.5,6.4,15.8,13.3,31.2,24.6,14.6,11.7,6.8,5.4,3.6,1.2,0.4,0.4,,,0,,
68,70,ML,MLI,Mali,2013,MLIr101,Kayes,32.9,1.5,1.0,2.2,15.0,,0,100,28.1,77.5,22.7,15.0,58.2,2.1,74.6,9.8,34.0,4.0,58.3,37.5,21.6,11.7,9.8,6.4,6.5,4.1,1.7,0.5,0.1,,,8638,Kayes,ADM1
69,71,ML,MLI,Mali,2013,MLIr102,Koulikoro,33.0,2.0,1.4,2.8,6.6,,82.1,0,30.4,75.9,23.4,10.9,55.3,3.6,69.3,5.0,42.5,5.2,60.5,37.0,22.4,12.0,10.4,6.6,6.0,3.8,1.2,0.4,0.1,,,8640,Koulikoro,ADM1
70,72,ML,MLI,Mali,2013,MLIr103,Sikasso,33.9,1.7,1.2,2.4,17.9,,0,0,29.6,76.5,21.8,7.8,65.7,1.5,75.6,7.0,31.4,7.2,64.4,37.1,22.9,11.9,10.7,6.1,6.2,3.4,1.2,0.4,0.2,,,8643,Sikasso,ADM1
71,73,ML,MLI,Mali,2013,MLIr104,Segou,30.6,1.4,1.0,1.9,9.5,,0,0,25.2,71.9,15.4,7.6,57.7,1.6,82.1,3.2,38.3,5.1,65.0,36.9,21.5,11.8,10.5,6.9,6.2,4.1,1.3,0.4,0.2,,,8642,Segou,ADM1
72,74,ML,MLI,Mali,2013,MLIr105,Mopti,27.0,0.9,0.6,1.3,9.6,,78.9,0,16.6,69.3,10.7,13.1,50.2,1.9,86.5,4.7,44.7,6.0,76.3,37.3,21.8,11.1,10.3,7.1,6.1,4.2,1.5,0.4,0.2,,,8641,Mopti,ADM1
73,75,ML,MLI,Mali,2013,MLIr108,Bamako,61.7,5.7,4.6,6.8,100.0,,0,0,82.7,96.7,84.9,12.6,58.0,15.2,26.9,33.0,2.0,20.6,9.1,30.3,24.2,16.0,11.9,6.8,5.1,3.5,1.1,0.4,0.4,,,8636,Bamako,ADM1
74,76,SN,SEN,Senegal,2011,SENt,Total,51.7,3.2,2.6,4.0,44.9,,66.6,2.5,55.9,92.0,56.9,4.6,83.9,23.2,33.8,54.3,20.5,26.2,44.5,31.7,22.4,16.0,10.7,6.6,6.1,3.3,2.2,0.7,0.2,,,0,,
75,77,SN,SEN,Senegal,2011,SENtr,Rural,38.1,1.3,0.9,1.8,0.0,,52.1,0.5,31.9,87.5,30.7,2.9,86.2,9.9,50.5,33.4,33.0,11.1,64.5,36.3,22.6,13.3,9.3,6.1,5.7,3.4,2.4,0.8,0.2,,,0,,
76,78,SN,SEN,Senegal,2011,SENtu,Urban,68.8,5.0,4.3,5.8,100.0,,88.4,5.5,85.9,97.6,89.7,6.8,81.0,39.8,12.8,80.4,5.0,45.1,19.6,26.1,22.2,19.3,12.5,7.3,6.6,3.2,1.9,0.7,0.2,,,0,,
77,79,SN,SEN,Senegal,2011,SENr101,Dakar,75.1,5.6,5.0,6.4,97.1,,88.3,7.2,91.1,98.3,94.1,9.5,77.4,52.5,7.1,87.7,1.6,66.8,8.6,24.9,19.9,20.7,14.0,7.9,6.9,3.2,1.6,0.6,0.3,,,157804,Dakar,ADM1
78,80,SN,SEN,Senegal,2011,SENr102,Ziguinchor,45.0,6.0,5.0,7.0,50.8,,70.4,2.5,55.5,92.4,65.7,3.8,87.2,13.5,35.4,26.3,50.7,4.7,73.9,27.8,23.9,17.6,9.5,6.5,6.4,4.0,3.1,1.0,0.4,,,149996,Ziguinchor,ADM1
79,81,SN,SEN,Senegal,2011,SENr103,Diourbel,54.8,1.2,1.0,1.6,15.5,,81.1,0.7,56.7,96.7,58.6,2.3,89.0,22.7,27.2,68.4,6.8,25.5,32.5,34.8,22.2,14.7,9.3,6.6,5.8,3.0,2.7,0.7,0.2,,,156922,Diourbel,ADM1
80,82,SN,SEN,Senegal,2011,SENr104,Saint Louis,46.1,2.2,1.8,2.8,40.5,,53.2,1.1,49.7,89.2,51.0,5.3,77.6,12.5,38.7,43.6,18.8,18.8,49.4,32.7,23.1,14.9,10.2,6.7,5.6,3.2,2.5,0.8,0.2,,,0,,
81,83,SN,SEN,Senegal,2011,SENr105,Tambacounda,30.9,1.5,1.0,2.1,24.3,,60.3,0.6,23.4,79.9,23.4,4.3,83.6,4.0,59.8,9.0,48.3,1.4,88.4,36.5,22.0,14.2,9.7,6.4,5.5,3.3,1.8,0.5,0.1,,,150837,Tambacounda,ADM1
82,84,SN,SEN,Senegal,2011,SENr106,Kaolack,42.0,1.7,1.4,2.2,27.0,,56.1,1.3,33.0,88.1,34.9,2.6,87.9,13.1,42.5,45.8,18.5,15.5,65.9,36.2,23.1,13.6,9.4,6.1,5.6,3.2,2.0,0.7,0.1,,,155766,Kaolack,ADM1
83,85,SN,SEN,Senegal,2011,SENr107,Thies,55.6,3.1,2.5,3.8,47.0,,76.9,1.7,68.4,94.5,67.7,3.5,86.0,23.0,23.9,69.5,14.4,11.6,28.5,30.3,23.6,15.7,10.7,6.3,6.6,3.5,2.3,0.8,0.2,,,150684,Région de Thiès,ADM1
84,86,SN,SEN,Senegal,2011,SENr108,Louga,46.6,1.0,0.8,1.4,19.8,,54.1,0.8,46.9,94.2,40.6,2.6,88.4,16.0,53.1,59.0,5.0,20.6,52.3,32.7,23.5,14.7,10.5,5.8,6.2,3.4,2.2,0.8,0.2,,,154410,Louga,ADM1
85,87,SN,SEN,Senegal,2011,SENr109,Fatick,37.5,2.7,2.0,3.5,13.7,,49.1,1.1,32.6,90.7,34.2,2.2,84.2,11.6,55.5,24.5,38.5,15.5,63.4,35.9,23.7,12.5,8.8,5.8,5.6,3.8,2.7,0.9,0.1,,,156617,Fatick,ADM1
86,88,SN,SEN,Senegal,2011,SENr110,Kolda,30.1,2.2,1.5,3.2,18.5,,36.9,1.1,25.3,81.0,23.1,2.0,89.1,3.4,62.2,5.9,74.3,2.2,84.1,36.0,23.7,13.6,8.9,6.0,5.5,3.5,2.1,0.6,0.2,,,154821,Kolda,ADM1
87,89,SL,SLE,Sierra Leone,2013,SLEt,Total,26.9,3.7,2.7,4.8,31.2,,32.7,7.3,14.1,58.5,13.5,15.0,58.8,5.4,58.4,4.9,41.7,4.5,50.5,33.0,22.3,13.7,11.4,7.6,5.3,4.0,2.0,0.6,0.1,,,0,,
88,90,SL,SLE,Sierra Leone,2013,SLEtr,Rural,19.0,2.1,1.3,3.0,0.0,,19.7,4.5,2.9,45.8,0.8,12.0,62.9,1.0,77.4,0.4,54.7,0.4,63.2,35.6,20.8,11.7,11.3,7.8,5.5,4.3,2.2,0.6,0.1,,,0,,
89,91,SL,SLE,Sierra Leone,2013,SLEtu,Urban,44.4,6.7,5.5,8.0,100.0,,71.3,15.9,38.9,86.5,41.8,21.7,49.6,15.0,16.4,14.8,12.7,13.8,22.2,27.0,25.6,18.1,11.6,7.3,4.9,3.3,1.6,0.4,0.1,,,0,,
90,92,SL,SLE,Sierra Leone,2013,SLEr101,Bombali,24.6,3.5,2.5,4.6,28.3,,23.7,9.4,7.9,56.2,9.7,11.2,59.1,2.5,62.3,1.0,48.3,4.4,47.9,31.3,26.2,12.4,10.4,7.7,5.2,3.9,2.4,0.5,0.1,,,8623,Bombali,ADM2
91,93,SL,SLE,Sierra Leone,2013,SLEr102,Kambia,22.1,1.9,1.1,3.0,12.2,,10.5,5.5,6.1,55.9,0.6,4.5,77.0,0.9,77.0,0.1,79.1,0.5,46.7,35.9,23.0,10.5,10.0,8.8,4.9,3.7,2.1,0.9,0.1,,,8627,Kambia,ADM2
92,94,SL,SLE,Sierra Leone,2013,SLEr103,Koinadugu,16.2,1.6,1.0,2.4,8.3,,17,5,3.4,28.8,0.8,12.5,64.1,3.2,77.2,0.2,73.4,0.9,76.8,36.4,21.5,12.0,10.1,7.0,6.2,4.0,2.2,0.7,0.1,,,8629,Koinadugu,ADM2
93,95,SL,SLE,Sierra Leone,2013,SLEr104,Port Loko,22.4,2.9,2.0,4.2,14.1,,28.1,5.4,4.2,62.1,2.0,10.7,65.3,2.0,65.8,0.9,60.0,0.3,59.7,35.5,21.8,12.8,10.5,7.8,5.1,4.0,1.8,0.6,0.1,,,8632,Port Loko,ADM2
94,96,SL,SLE,Sierra Leone,2013,SLEr105,Tonkolili,21.6,2.7,1.9,3.6,10.2,,28.4,8.5,4.3,50.1,0.9,11.3,65.6,1.2,65.2,1.5,48.3,0.4,59.3,35.2,21.9,13.2,11.6,7.0,4.8,3.7,2.0,0.6,0.1,,,8634,Tonkolili,ADM2
95,97,SL,SLE,Sierra Leone,2013,SLEr106,Kailahun,18.1,3.0,2.0,4.3,16.0,,28,4.5,2.5,37.8,0.9,17.1,55.8,1.1,81.5,2.9,41.1,0.5,64.9,34.6,18.5,10.9,13.0,7.8,6.1,4.6,2.7,1.2,0.5,,,8626,Kailahun,ADM2
96,98,SL,SLE,Sierra Leone,2013,SLEr107,Kenema,27.7,3.4,2.4,4.5,38.8,,33.3,4.6,12.9,59.4,16.1,14.7,58.2,3.9,59.5,3.0,22.8,2.6,43.5,31.7,21.8,13.1,11.8,7.9,5.8,5.0,2.1,0.5,0.3,,,8628,Kenema,ADM2
97,99,SL,SLE,Sierra Leone,2013,SLEr108,Kono,20.5,2.6,1.6,3.8,25.4,,34,4.9,2.9,42.4,1.1,13.4,59.8,1.6,69.7,0.4,38.2,1.4,50.3,35.8,23.0,12.1,10.6,7.9,4.8,3.7,1.7,0.3,0.1,,,8630,Kono,ADM2
98,100,SL,SLE,Sierra Leone,2013,SLEr109,Bo,27.6,3.6,2.6,4.7,28.4,,33.4,7.9,14.9,56.9,15.4,14.5,58.3,2.6,54.0,0.7,27.4,2.6,40.2,35.7,22.0,13.0,11.2,7.5,5.0,3.5,1.6,0.4,0.1,,,8625,Bo,ADM2
99,101,SL,SLE,Sierra Leone,2013,SLEr110,Bonthe,18.8,2.3,1.8,2.8,16.6,,17.8,2.6,3.2,50.3,0.5,10.1,64.6,0.8,67.7,0.3,68.7,0.4,81.7,32.6,23.4,14.2,10.7,7.4,5.8,3.7,1.7,0.5,0.1,,,8624,Bonthe,ADM2
100,102,SL,SLE,Sierra Leone,2013,SLEr111,Moyamba,18.0,2.3,1.5,3.3,5.7,,12.4,3.8,2.2,47.7,0.7,10.1,68.3,0.7,79.4,0.3,66.9,1.0,70.6,32.7,20.3,12.0,11.7,8.0,7.1,4.5,2.6,0.9,0.2,,,8631,Moyamba,ADM2
101,103,SL,SLE,Sierra Leone,2013,SLEr112,Pujehun,22.7,1.9,1.4,2.4,14.1,,37.1,4.5,2.3,62.2,0.9,15.1,56.3,1.7,70.9,0.6,26.1,1.0,57.7,37.9,18.0,10.9,11.7,7.3,6.0,4.9,2.6,0.6,0.2,,,8633,Pujehun,ADM2
102,104,SL,SLE,Sierra Leone,2013,SLEr113,Western,50.7,7.3,6.1,8.5,91.9,,72.7,16.8,55.7,91.5,58.2,29.6,39.7,23.4,10.3,24.7,9.3,21.0,20.1,25.3,24.5,20.6,12.7,7.5,4.5,3.2,1.4,0.3,0.1,,,0,,
